;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
7697;18/19;Pedro Bigas;14.808762330974558;13.892471599100402;181.0;28;Defender;left;12.0;1.0;0.0;27.0;764.0;0.0;0.0;0.8;0.0;0.0;3.0;3.0;1.0;2700000.0;1080000.0
7698;17/18;Pedro Bigas;14.115615150414612;14.808762330974558;181.0;27;Defender;left;14.0;0.0;0.0;17.0;1076.0;0.0;0.0;1.25;0.0;0.0;3.0;1.0;3.0;1350000.0;2700000.0
7699;16/17;Pedro Bigas;15.319587954740548;15.096444403426338;181.0;26;Defender;left;33.0;1.0;4.0;34.0;2695.0;0.0;0.0;1.065;0.0;1.0;4.0;2.0;4.0;4500000.0;3600000.0
7700;19/20;Pedro León;14.04662227892766;14.297936707208567;183.0;33;Forward;right;24.0;0.0;2.0;28.0;1488.0;0.0;0.0;2.065;0.0;0.0;13.0;6.0;3.0;1260000.0;1620000.0
7701;18/19;Pedro León;14.297936707208567;14.403297222866392;183.0;32;Forward;right;9.0;0.0;1.0;12.0;425.0;0.0;0.0;1.22;0.0;0.0;4.0;4.0;0.0;1620000.0;1800000.0
7702;17/18;Pedro León;14.403297222866392;14.626440774180603;183.0;31;Forward;right;12.0;3.0;0.0;13.0;929.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;1800000.0;2250000.0
7703;16/17;Pedro León;15.319587954740548;15.096444403426338;183.0;30;Forward;right;39.0;6.0;11.0;42.0;3108.0;0.0;1.0;1.2149999999999999;0.0;0.0;9.0;5.0;6.0;4500000.0;3600000.0
7704;19/20;Pedro Mendes;15.278765960220293;15.501909511534503;186.0;29;Defender;right;18.0;0.0;1.0;18.0;1534.0;0.0;0.0;1.375;0.0;1.0;2.0;0.0;9.0;4320000.0;5400000.0
7705;18/19;Pedro Mendes;15.501909511534503;15.501909511534503;186.0;28;Defender;right;32.0;1.0;1.0;32.0;2743.0;0.0;0.0;0.84;1.0;0.0;2.0;0.0;7.0;5400000.0;5400000.0
7706;17/18;Pedro Mendes;14.962913010801817;14.808762330974558;186.0;27;Defender;right;39.0;1.0;1.0;39.0;3290.0;0.0;0.0;1.5866666666666667;1.0;0.0;3.0;2.0;13.0;3150000.0;2700000.0
7707;16/17;Pedro Mendes;14.808762330974558;14.808762330974558;186.0;26;Defender;right;20.0;0.0;0.0;31.0;1757.0;0.0;0.0;0.735;0.0;0.0;2.0;0.0;7.0;2700000.0;2700000.0
7708;19/20;Pedro Neto;16.15249707767565;16.275099399767985;172.0;20;Forward;left;35.0;4.0;4.0;42.0;1450.0;0.0;0.0;1.714;0.0;0.0;12.0;20.0;5.0;10350000.0;11700000.0
7709;18/19;Pedro Neto;14.626440774180603;14.626440774180603;172.0;19;Forward;left;5.0;0.0;0.0;20.0;85.0;0.0;0.0;2.25;0.0;0.0;0.0;5.0;1.0;2250000.0;2250000.0
7710;17/18;Pedro Neto;14.808762330974558;14.808762330974558;172.0;18;Forward;left;11.0;1.0;1.0;25.0;906.0;0.0;0.0;0.2;0.0;0.0;1.0;1.0;2.0;2700000.0;2700000.0
7711;16/17;Pedro Neto;12.323855681186558;16.15249707767565;172.0;17;Forward;left;3.0;0.0;1.0;4.0;80.0;0.0;0.0;0.75;0.0;0.0;0.0;3.0;0.0;225000.0;10350000.0
7712;19/20;Pedro Obiang;15.414898134544874;15.65606019136176;186.0;28;Midfielder;right;23.0;1.0;1.0;26.0;1721.0;1.0;0.0;1.345;0.0;0.0;2.0;4.0;10.0;4950000.0;6300000.0
7713;18/19;Pedro Obiang;15.65606019136176;15.789591583986283;186.0;27;Midfielder;right;29.0;1.0;0.0;39.0;1404.0;0.0;0.0;1.71;0.0;0.0;9.0;12.0;1.0;6300000.0;7200000.0
7714;17/18;Pedro Obiang;15.789591583986283;15.907374619642667;186.0;26;Midfielder;right;27.0;0.0;2.0;31.0;2002.0;0.0;0.0;1.5066666666666666;0.0;0.0;5.0;4.0;3.0;7200000.0;8100000.0
7715;16/17;Pedro Obiang;15.907374619642667;15.789591583986283;186.0;25;Midfielder;right;30.0;1.0;1.0;36.0;2407.0;0.0;0.0;1.09;0.0;0.0;5.0;2.0;8.0;8100000.0;7200000.0
7720;19/20;Pedro;15.961441840912943;16.195056692094447;167.0;32;Forward;both;18.0;3.0;2.0;27.0;1215.0;0.0;1.0;1.3;0.0;0.0;6.0;5.0;1.0;8550000.0;10800000.0
7721;18/19;Pedro;16.70588231586044;16.929025867174648;167.0;31;Forward;both;52.0;5.0;13.0;55.0;3099.0;0.0;0.0;1.29;0.0;0.0;24.0;16.0;3.0;18000000.0;22500000.0
